name,ing_cal,ing_protein,ing_fat,ing_carbon,ing_vit_b1,ing_vit_b2,ing_vit_c,ing_salt
こむぎ　［パン類］　乾パン,386,9.5,4.4,78.8,0.14,0.06,0,1.2
こむぎ　［パン類］　フランスパン,289,9.4,1.3,57.5,0.08,0.05,0,1.6
こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,52.7,0.16,0.06,0,1.2
こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,45.5,0.17,0.07,0,1
こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,51.1,0.11,0.05,(Tr),1
こむぎ　［パン類］　ロールパン,309,10.1,9,48.6,0.1,0.06,0,1.2
こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,-6.5,-20.4,-51.5,-0.11,-0.09,0,-1.3
こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,43.9,0.08,0.03,0,1.2
こむぎ　［パン類］　くるみパン,292,-8.2,-12.6,-38.7,-0.11,-0.09,0,-0.8
こむぎ　［パン類］　イングリッシュマフィン,224,8.1,3.6,40.8,0.15,0.08,0,1.2
こむぎ　［パン類］　ナン,257,10.3,3.4,47.6,0.13,0.06,0,1.3
こむぎ　［パン類］　ベーグル,270,9.6,2,54.6,0.19,0.08,-,1.2
こむぎ　［うどん・そうめん類］　うどん　生,249,6.1,0.6,56.8,0.09,0.03,0,2.5
こむぎ　［うどん・そうめん類］　うどん　ゆで,95,2.6,0.4,21.6,0.02,0.01,0,0.3
こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,-7.8,-3.4,-62.5,-0.1,-0.03,0,-3
こむぎ　［うどん・そうめん類］　干しうどん　乾,333,8.5,1.1,71.9,0.08,0.02,0,4.3
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3.1,0.5,25.8,0.02,0.01,0,0.5
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,9.5,1.1,72.7,0.08,0.02,0,3.8
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,3.5,0.4,25.8,0.02,0.01,0,0.2
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,9.3,1.5,68.9,0.06,0.02,0,5.8
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,3.5,0.6,25.5,0.03,0.01,0,0.3
こむぎ　［中華めん類］　中華めん　生,249,8.6,1.2,55.7,0.02,0.02,0,1
こむぎ　［中華めん類］　中華めん　ゆで,133,4.9,0.6,29.2,0.01,0.01,0,0.2
こむぎ　［中華めん類］　半生中華めん,305,-9.9,-4,-61.2,-0.07,-0.03,0,-1.2
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,4.9,1.7,35.6,0,0.16,0,0.3
こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,5.2,4.9,38.9,0,0,0,0.3
こむぎ　［中華めん類］　干し中華めん　乾,337,11.7,1.6,70.2,0.02,0.03,0,1
こむぎ　［中華めん類］　干し中華めん　ゆで,131,4.9,0.5,27.5,0,0,0,0.2
こむぎ　［中華めん類］　沖縄そば　生,266,9.2,2,54.2,0.02,0.04,0,2.1
こむぎ　［中華めん類］　沖縄そば　ゆで,132,5.2,0.8,28,0.01,0.02,0,0.4
こむぎ　［中華めん類］　干し沖縄そば　乾,317,12,1.7,67.8,0.12,0.05,0,4.3
こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5.2,0.6,28.6,0.02,0.02,0,0.5
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10.1,16.7,63.5,1.46,1.67,0,6.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10.1,19.1,61.4,0.55,0.83,Tr,5.6
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,-2.3,-4.4,-13.4,-0.02,-0.13,0,-1.1
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,3.9,7.7,27.9,0.05,0.06,0,0.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453,8.9,19.6,65.5,0.16,0.19,0,1.5
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10.3,5.2,67.1,0.21,0.04,0,6.9
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,-3,-0.8,-18.7,-0.01,-0.01,0,-1.1
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3.4,0.8,31,Tr,Tr,0,0.6
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334,8.5,1.9,75.2,0.01,0.01,0,3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,10.9,18.5,58.6,0.9,0.61,2,5.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,-2.5,-4.2,-13.2,-0.2,-0.14,-1,-1.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,3.8,7.7,25.2,0.19,0.14,0,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,10,19.1,54.6,0.61,0.52,2,6.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,-2.3,-4.5,-12.9,-0.14,-0.12,-1,-1.5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,3,5.8,20.7,0.15,0.14,0,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,8.2,18.6,57.5,0.48,0.66,1,3.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,-5,-11.3,-34.2,-0.28,-0.3,-2,-2.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,9.2,5.8,62.6,0.16,0.13,1,7.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,-2.5,-2.1,-10.2,-0.1,-0.1,-2,-1.4
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,3.4,1.3,25.3,0.05,0.06,0,1
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,10.9,19.8,56.1,0.11,0.05,1,6.7
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,-2.2,-4.7,-11.2,-0.19,-0.08,-2,-1.4
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,2.7,7.2,24.4,0.15,0.06,1,1.1
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,12.9,1.8,73.1,0.19,0.06,0,0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,5.8,0.9,32.2,0.06,0.03,0,1.2
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,-5.5,-5.8,-30.5,-0.06,-0.03,0,-1.1
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,7.8,1.9,46.9,0.05,0.04,0,1.2
こむぎ　［ふ類］　生ふ,161,12.7,0.8,26.2,0.08,0.03,0,0
こむぎ　［ふ類］　焼きふ　釜焼きふ,357,28.5,2.7,56.9,0.16,0.07,0,0
こむぎ　［ふ類］　焼きふ　板ふ,351,25.6,3.3,57.3,0.2,0.08,0,0.5
こむぎ　［ふ類］　焼きふ　車ふ,361,30.2,3.4,54.2,0.12,0.07,0,0.3
こむぎ　［ふ類］　油ふ,547,22.7,35.3,34.4,0.07,0.03,-,0.1
こむぎ　［その他］　小麦はいが,391,32,11.6,48.3,1.82,0.71,0,0
こむぎ　［その他］　小麦たんぱく　粉末状,398,72,9.7,10.6,0.03,0.12,0,0.2
こむぎ　［その他］　小麦たんぱく　粒状,101,20,2,1.8,0.02,0.01,0,0.1
こむぎ　［その他］　小麦たんぱく　ペースト状,145,25,4.1,3.9,0.2,0.03,0,0.6
こむぎ　［その他］　かやきせんべい,359,10.6,1.9,75.1,0.17,0.02,-,2.5
こむぎ　［その他］　ぎょうざの皮　生,275,9.3,1.4,57,0.08,0.04,0,0
こむぎ　［その他］　しゅうまいの皮　生,275,8.3,1.4,58.9,0.09,0.04,0,0
こむぎ　［その他］　春巻きの皮　生,288,8.3,1.6,62.2,0.03,0.01,-,1.1
こむぎ　［その他］　春巻きの皮　揚げ,512,7.2,30.7,53.7,0.02,0.01,-,0.9
こむぎ　［その他］　ピザ生地,265,9.1,3,51.1,0.15,0.11,0,1.3
こむぎ　［その他］　ちくわぶ,160,7.1,1.2,31.1,0.01,0.02,0,0
こむぎ　［その他］　パン粉　生,277,11,5.1,47.6,0.11,0.02,0,0.9
こむぎ　［その他］　パン粉　半生,315,12.5,5.8,54.3,0.13,0.03,0,1
こむぎ　［その他］　パン粉　乾燥,369,14.6,6.8,63.4,0.15,0.03,0,1.2
こむぎ　［その他］　冷めん　生,249,3.9,0.7,57.6,0.04,Tr,0,1.3
こめ　［水稲穀粒］　玄米,346,6.8,2.7,74.3,0.41,0.04,0,0
こめ　［水稲穀粒］　半つき米,345,6.5,1.8,75.9,0.3,0.03,0,0
こめ　［水稲穀粒］　七分つき米,348,6.3,1.5,76.6,0.24,0.03,0,0
こめ　［水稲穀粒］　精白米　うるち米,342,6.1,0.9,77.6,0.08,0.02,0,0
こめ　［水稲穀粒］　精白米　もち米,343,6.4,1.2,77.2,0.12,0.02,0,0
こめ　［水稲穀粒］　精白米　インディカ米,347,7.4,0.9,77.7,0.06,0.02,0,0
こめ　［水稲穀粒］　はいが精米,343,6.5,2,75.8,0.23,0.03,0,0
こめ　［水稲穀粒］　発芽玄米,339,6.5,3.3,74.3,0.35,0.02,0,0
こめ　［水稲穀粒］　赤米,344,8.5,3.3,71.9,0.38,0.05,-,0
こめ　［水稲穀粒］　黒米,341,7.8,3.2,72,0.39,0.1,-,0
こめ　［水稲めし］　玄米,152,2.8,1,35.6,0.16,0.02,0,0
こめ　［水稲めし］　半つき米,154,2.7,0.6,36.4,0.08,0.01,0,0
こめ　［水稲めし］　七分つき米,160,2.6,0.5,36.7,0.06,0.01,0,0
こめ　［水稲めし］　精白米　インディカ米,184,3.8,0.4,41.5,0.02,Tr,0,0
こめ　［水稲めし］　精白米　うるち米,156,2.5,0.3,37.1,0.02,0.01,0,0
こめ　［水稲めし］　精白米　もち米,188,3.5,0.5,43.9,0.03,0.01,0,0
こめ　［水稲めし］　はいが精米,159,2.7,0.6,36.4,0.08,0.01,0,0
こめ　［水稲めし］　発芽玄米,161,3,1.4,35,0.13,0.01,0,0
こめ　［水稲めし］　赤米,150,3.8,1.3,32.7,0.15,0.02,-,0
こめ　［水稲めし］　黒米,150,3.6,1.4,32.2,0.14,0.04,-,0
こめ　［水稲軟めし］　精白米,113,-1.8,-0.3,-26.4,-0.02,-0.01,0,0
こめ　［水稲全かゆ］　玄米,64,-1.2,-0.4,-15.2,-0.07,-0.01,0,0
こめ　［水稲全かゆ］　半つき米,65,-1.1,-0.3,-15.5,-0.03,(Tr),0,0
こめ　［水稲全かゆ］　七分つき米,68,-1.1,-0.2,-15.6,-0.03,(Tr),0,0
こめ　［水稲全かゆ］　精白米,65,-1.1,-0.1,-15.7,-0.01,(Tr),0,0
こめ　［水稲五分かゆ］　玄米,32,-0.6,-0.2,-7.6,-0.03,(Tr),0,0
こめ　［水稲五分かゆ］　半つき米,32,-0.6,-0.1,-7.7,-0.02,(Tr),0,0
こめ　［水稲五分かゆ］　七分つき米,32,-0.6,-0.1,-7.7,-0.01,(Tr),0,0
こめ　［水稲五分かゆ］　精白米,33,-0.5,-0.1,-7.9,(Tr),(Tr),0,0
こめ　［水稲おもゆ］　玄米,19,-0.4,-0.1,-4.4,-0.02,(Tr),0,0
こめ　［水稲おもゆ］　半つき米,19,-0.3,-0.1,-4.6,-0.01,(Tr),0,0
こめ　［水稲おもゆ］　七分つき米,20,-0.3,-0.1,-4.6,-0.01,(Tr),0,0
こめ　［水稲おもゆ］　精白米,19,-0.3,0,-4.7,(Tr),(Tr),0,0
こめ　［陸稲穀粒］　玄米,357,10.1,2.7,71.1,0.41,0.04,0,0
こめ　［陸稲穀粒］　半つき米,356,9.6,1.8,72.9,0.3,0.03,0,0
こめ　［陸稲穀粒］　七分つき米,359,9.5,1.5,73.4,0.24,0.03,0,0
こめ　［陸稲穀粒］　精白米,331,9.3,0.9,74.5,0.08,0.02,0,0
こめ　［陸稲めし］　玄米,156,4.1,1,34.3,0.16,0.02,0,0
こめ　［陸稲めし］　半つき米,157,3.8,0.6,35.3,0.08,0.01,0,0
こめ　［陸稲めし］　七分つき米,155,3.6,0.5,35.7,0.06,0.01,0,0
こめ　［陸稲めし］　精白米,157,3.5,0.3,36.1,0.02,0.01,0,0
こめ　［うるち米製品］　アルファ化米　一般用,358,6,1,84.8,0.04,Tr,0,Tr
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,6,1,84.8,0.41,Tr,0,Tr
こめ　［うるち米製品］　おにぎり,170,2.7,0.3,39.4,0.02,0.01,0,0.5
こめ　［うるち米製品］　焼きおにぎり,166,3.1,0.3,39.5,0.03,0.02,0,1
こめ　［うるち米製品］　きりたんぽ,200,3.2,0.4,46.2,0.03,0.01,0,0
こめ　［うるち米製品］　上新粉,343,6.2,0.9,78.5,0.09,0.02,0,0
こめ　［うるち米製品］　玄米粉,370,7.1,2.9,84.1,0,0.03,0,0
こめ　［うるち米製品］　米粉,356,6,0.7,81.9,0.03,0.01,0,0
こめ　［うるち米製品］　米粉パン　食パン,247,-10.7,-5.1,-41.6,-0.05,-0.06,0,-1.1
こめ　［うるち米製品］　米粉パン　ロールパン,256,-8.8,-6.7,-42,-0.05,-0.08,0,-0.9
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,3.4,3.1,51.3,0.05,0.03,-,0.9
こめ　［うるち米製品］　米粉めん,252,3.6,0.7,58.4,0.03,Tr,0,0.1
こめ　［うるち米製品］　ビーフン,360,7,1.6,79.9,0.06,0.02,0,0
こめ　［うるち米製品］　ライスペーパー,339,0.5,0.3,84.3,0.01,0,0,1.7
こめ　［うるち米製品］　米こうじ,260,5.8,1.7,59.2,0.11,0.13,0,0
こめ　［もち米製品］　もち,223,4,0.6,50.8,0.03,0.01,0,0
こめ　［もち米製品］　赤飯,186,4.3,0.6,41.9,0.05,0.01,0,0
こめ　［もち米製品］　あくまき,131,2.3,1.8,25.7,Tr,Tr,0,0
こめ　［もち米製品］　白玉粉,347,6.3,1,80,0.03,0.01,0,0
こめ　［もち米製品］　道明寺粉,349,7.1,0.7,80.4,0.04,0.01,0,0
こめ　［その他］　米ぬか,374,13.4,19.6,48.8,3.12,0.21,0,Tr
そば　そば粉　全層粉,339,12,3.1,69.6,0.46,0.11,0,0
そば　そば粉　内層粉,342,6,1.6,77.6,0.16,0.07,0,0
そば　そば粉　中層粉,334,10.2,2.7,71.6,0.35,0.1,0,0
そば　そば粉　表層粉,337,15,3.6,65.1,0.5,0.14,0,0
そば　そば米,347,9.6,2.5,73.7,0.42,0.1,0,0
そば　そば　生,271,9.8,1.9,54.5,0.19,0.09,0,0
そば　そば　ゆで,130,4.8,1,26,0.05,0.02,0,0
そば　そば　半生そば,325,-10.5,-3.8,-61.8,-0.22,-0.1,0,0
そば　干しそば　乾,344,14,2.3,66.7,0.37,0.08,0,2.2
そば　干しそば　ゆで,113,4.8,0.7,22.1,0.08,0.02,0,0.1
とうもろこし　玄穀　黄色種,341,8.6,5,70.6,0.3,0.1,0,0
とうもろこし　玄穀　白色種,341,8.6,5,70.6,0.3,0.1,0,0
とうもろこし　コーンミール　黄色種,375,8.3,4,72.4,0.15,0.08,0,0
とうもろこし　コーンミール　白色種,375,8.3,4,72.4,0.15,0.08,0,0
とうもろこし　コーングリッツ　黄色種,352,8.2,1,76.4,0.06,0.05,0,0
とうもろこし　コーングリッツ　白色種,352,8.2,1,76.4,0.06,0.05,0,0
とうもろこし　コーンフラワー　黄色種,347,6.6,2.8,76.1,0.14,0.06,0,0
とうもろこし　コーンフラワー　白色種,347,6.6,2.8,76.1,0.14,0.06,0,0
とうもろこし　ジャイアントコーン　フライ　味付け,409,5.7,11.8,76.6,0.08,0.02,0,1.1
とうもろこし　ポップコーン,472,10.2,22.8,59.6,0.13,0.08,0,1.4
とうもろこし　コーンフレーク,380,7.8,1.7,83.6,0.03,0.02,0,2.1
はとむぎ　精白粒,353,13.3,1.3,72.2,0.02,0.05,0,0
ひえ　精白粒,361,9.4,3.3,73.2,0.25,0.02,0,Tr
もろこし　玄穀,344,10.3,4.7,71.1,0.35,0.1,0,0
もろこし　精白粒,348,9.5,2.6,74.1,0.1,0.03,0,0
ライむぎ　全粒粉,317,12.7,2.7,70.7,0.47,0.2,0,0
ライむぎ　ライ麦粉,324,8.5,1.6,75.8,0.15,0.07,0,0
＜いも類＞　アメリカほどいも　塊根　生,146,5.9,0.6,35.6,0.12,0.03,15,Tr
＜いも類＞　アメリカほどいも　塊根　ゆで,144,6,0.8,34.5,0.15,0.03,9,Tr
＜いも類＞　きくいも　塊茎　生,66,1.9,0.4,14.7,0.08,0.04,10,0
＜いも類＞　きくいも　塊茎　水煮,51,1.6,0.5,11.3,0.06,0.03,6,0
＜いも類＞　こんにゃく　精粉,194,3,0.1,85.3,0,0,0,0
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5,0.1,Tr,2.3,0,0,0,0
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8,0.1,0.1,3.3,0,0,0,0
＜いも類＞　こんにゃく　赤こんにゃく,6,0.1,Tr,2.5,0,0,0,Tr
＜いも類＞　こんにゃく　凍みこんにゃく　乾,192,3.3,1.4,77.1,0,0,0,0.1
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42,0.7,0.3,16.8,0,0,0,Tr
＜いも類＞　こんにゃく　しらたき,7,0.2,Tr,3,0,0,0,0
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,127,0.9,0.5,33.1,0.1,0.02,25,0.1
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,129,0.9,0.2,33.7,0.1,0.02,20,0.1
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,205,1.4,6.8,38.4,0.11,0.04,21,0.1
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,126,1.2,0.2,31.9,0.11,0.04,29,Tr
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,131,1.2,0.2,31.9,0.11,0.04,29,Tr
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,151,1.4,0.2,39,0.12,0.06,23,0
＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,277,3.1,0.6,71.9,0.19,0.08,9,0
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,123,1.2,0.3,31.7,0.12,0.02,29,0.1
＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,122,1.2,0.3,31.4,0.13,0.03,24,0.1
＜いも類＞　（さといも類）　さといも　球茎　生,53,1.5,0.1,13.1,0.07,0.02,6,0
＜いも類＞　（さといも類）　さといも　球茎　水煮,52,1.5,0.1,13.4,0.06,0.02,5,0
＜いも類＞　（さといも類）　さといも　球茎　冷凍,69,2.2,0.1,16.1,0.07,0.01,5,0
＜いも類＞　（さといも類）　セレベス　球茎　生,80,2.2,0.3,19.8,0.1,0.03,6,0
＜いも類＞　（さといも類）　セレベス　球茎　水煮,77,2.1,0.3,19.1,0.08,0.02,4,0
＜いも類＞　（さといも類）　たけのこいも　球茎　生,97,1.7,0.4,23.5,0.05,0.03,6,0
＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,86,1.6,0.4,21.8,0.05,0.02,4,0
＜いも類＞　（さといも類）　みずいも　球茎　生,111,0.7,0.4,27.6,0.16,0.02,7,0
＜いも類＞　（さといも類）　みずいも　球茎　水煮,101,0.7,0.4,26.1,0.16,0.02,4,0
＜いも類＞　（さといも類）　やつがしら　球茎　生,94,3,0.7,20.5,0.13,0.06,7,0
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92,2.7,0.6,20,0.11,0.04,5,0
＜いも類＞　じゃがいも　塊茎　皮つき　生,51,1.8,0.1,15.9,0.08,0.03,28,0
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78,2.1,0.2,19.2,0.07,0.02,13,0
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153,2.7,5.6,25.4,0.09,0.03,16,0
＜いも類＞　じゃがいも　塊茎　皮なし　生,59,1.8,0.1,17.3,0.09,0.03,28,0
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71,1.7,0.1,16.9,0.07,0.03,18,0
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76,1.9,0.3,18.1,0.08,0.03,11,0
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78,1.9,0.1,19,0.09,0.03,23,0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159,2.7,5.9,26.2,0.1,0.02,16,0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229,2.9,10.6,32.4,0.12,0.06,40,0
＜いも類＞　じゃがいも　乾燥マッシュポテト,347,6.6,0.6,82.8,0.25,0.05,5,0.2
＜いも類＞　ヤーコン　塊根　生,52,0.6,0.3,12.4,0.04,0.01,3,0
＜いも類＞　ヤーコン　塊根　水煮,42,0.6,0.3,9.9,0.03,0.01,2,0
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108,4.5,0.5,22.6,0.15,0.05,7,0
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64,2.2,0.3,13.9,0.1,0.02,6,0
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58,2,0.3,12.6,0.08,0.02,4,0
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119,4.5,0.2,27.1,0.13,0.02,5,0
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118,2.8,0.7,26.7,0.11,0.04,15,0
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102,2.6,0.1,25,0.1,0.02,17,0.1
＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327,0.1,0.1,83.6,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354,0.1,0.2,85.3,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356,0.2,0.2,85.6,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375,0.2,0.7,89.3,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360,0.2,0.5,86,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357,0.1,0.2,86.1,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,340,0.1,0.2,82,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,338,0.1,0.1,81.6,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,363,0.1,0.7,86.3,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,341,0.2,0.2,87.7,0,0,0,0
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,133,0.1,0.1,33.3,0,0,0,0
